prompt_name,genre,rouge1,rouge2,rougeL,bertscore_f1,generated_length_words,compression_ratio,bullet_format_rate,n
one_sentence,business,0.21833868374822257,0.06225324953181179,0.196948853239748,0.8790298104286194,16.9,0.7938507625272331,0.0,10
bullet_points,business,0.2131803436440854,0.05940383170812184,0.18814660218631815,0.8779516160488129,16.9,0.7455731162196679,0.0,10
fact_constrained,business,0.21246461192769642,0.05214933238943622,0.179619891430802,0.8880024790763855,16.6,0.7243002967470513,0.0,10
tldr,business,0.20245340575300755,0.048168795973674024,0.16475319932747484,0.8760828018188477,15.2,0.6854699121027721,0.0,10
one_sentence,entertainment,0.3282343928142507,0.11345399698340874,0.29080102585645207,0.895536208152771,17.3,0.8306865928189457,0.0,10
fact_constrained,entertainment,0.3000878519778975,0.10549019607843138,0.26062461189982333,0.8926731050014496,14.2,0.6920996362972066,0.0,10
bullet_points,entertainment,0.2793753655230069,0.08313725490196078,0.2310686836906326,0.8895249247550965,16.2,0.8026071702286537,0.0,10
tldr,entertainment,0.21975100073665485,0.04844640802522327,0.17673461643184712,0.8805979549884796,14.4,0.6973159511938285,0.0,10
bullet_points,politics,0.3017926092380521,0.12951346692523164,0.23801871820966816,0.8929567217826844,13.8,0.7150093297507091,0.0,10
one_sentence,politics,0.25107431077039305,0.10738303363303363,0.20851833780354262,0.8877096235752105,15.0,0.757837736975668,0.0,10
fact_constrained,politics,0.2633397764271889,0.09680180649264096,0.2039337679253391,0.888902199268341,13.2,0.6583508732646663,0.0,10
tldr,politics,0.2240971556401595,0.07196000236322816,0.1723402022811522,0.8843382120132446,12.8,0.6477556351694282,0.0,10
one_sentence,sport,0.24640406974789353,0.08207002918436676,0.21199595753490325,0.8941659688949585,14.4,1.1382916153259404,0.0,10
fact_constrained,sport,0.24167625136818552,0.09468750715574671,0.20347503570691935,0.8979348957538604,13.5,1.0368155519791675,0.0,10
bullet_points,sport,0.24174362640787325,0.08973967764290344,0.19945083148349935,0.8992801964282989,13.6,1.0299113698404316,0.0,10
tldr,sport,0.21191126194638787,0.07471408221408221,0.18162079679222112,0.8881190896034241,13.2,1.1544596622548569,0.0,10
one_sentence,tech,0.28733533440631287,0.09826426250107792,0.23866079537772192,0.8963245570659637,17.7,0.882652966262436,0.0,10
bullet_points,tech,0.2741050563141228,0.09457553174016589,0.22540705650946702,0.8968346357345581,17.1,0.8400790238500226,0.0,10
fact_constrained,tech,0.2649136416209587,0.07984780511096301,0.211225707933025,0.8987019896507263,16.2,0.7989684487899591,0.0,10
tldr,tech,0.25040063668205625,0.06143372966902379,0.20499173446748914,0.8899148344993592,16.5,0.8247761720040627,0.0,10
