id,genre,prompt_name,reference_summary,generated_summary,source_length_chars,generated_length_words,reference_length_words
38264402,tech,tldr,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","Prison Link Cymru, which helps people find accommodation after their release, could take six months to a year.",3525,18,17
38264402,tech,bullet_points,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","Prison leavers should be given priority for accommodation, a charity has said.",3525,12,17
38264402,tech,one_sentence,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","Prison leavers in Wales could be given priority for accommodation, a charity has said.",3525,14,17
38264402,tech,fact_constrained,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","The Welsh government has said it is ""difficult to find suitable accommodation for those leaving prison"".",3525,16,17
34227252,entertainment,tldr,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A man has been arrested and charged in connection with a shooting in Edinburgh.,287,14,17
34227252,entertainment,bullet_points,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A man has appeared in court charged with the murder of a man in Edinburgh.,287,15,17
34227252,entertainment,one_sentence,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A man has appeared in court charged with possession of firearms and ammunition in Edinburgh.,287,15,17
34227252,entertainment,fact_constrained,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A man has appeared in court charged with the murder of a man in Edinburgh.,287,15,17
38537698,tech,tldr,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four people have been charged with hate crimes and aggravated kidnapping and battery.,1488,13,23
38537698,tech,bullet_points,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four people have been charged with aggravated kidnapping and battery after a man was beaten in a van in Chicago.,1488,20,23
38537698,tech,one_sentence,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four people have been charged with hate crimes and aggravated kidnapping and battery.,1488,13,23
38537698,tech,fact_constrained,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four people have been charged with aggravated kidnapping and battery in a Chicago court.,1488,14,23
36175342,sport,tldr,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Brom have confirmed the former Arsenal goalkeeper has been appointed director of football.,313,14,15
36175342,sport,bullet_points,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Brom have appointed former Arsenal goalkeeper Danny Boyle as their new manager.,313,13,15
36175342,sport,one_sentence,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Brom have appointed former Arsenal goalkeeper Danny Boyle as their new director of football.,313,15,15
36175342,sport,fact_constrained,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Brom have confirmed a former Arsenal goalkeeper has been appointed as director of football.,313,15,15
39070183,tech,tldr,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",Scientists have found a new way to reverse the symptoms of diabetes in mice.,3585,14,17
39070183,tech,bullet_points,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",A diet that reverses the symptoms of diabetes has been shown to reverse the symptoms of the pancreas.,3585,18,17
39070183,tech,one_sentence,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",A diet that reverses the symptoms of diabetes has been shown to reverse the symptoms of the pancreas.,3585,18,17
39070183,tech,fact_constrained,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",A diet that reverses the symptoms of diabetes has been shown to reverse the symptoms of the pancreas.,3585,18,17
38899892,business,tldr,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",The new company EssilorLuxottica will be a behemoth of the eyewear industry.,6147,12,24
38899892,business,bullet_points,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.","It's not clear if the new company will be able to compete in the eyewear market, but it is clear that it will be able to compete in the eyewear market.",6147,31,24
38899892,business,one_sentence,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.","It's not clear if it's a big deal for the eyewear business, but it's a big deal for the eyewear business.",6147,21,24
