id,genre,prompt_name,reference_summary,generated_summary,source_length_chars,generated_length_words,reference_length_words,compression_ratio,is_bullet_format,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
38264402,tech,tldr,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","The number of people who are homeless in Wales is on the rise, according to a charity.",3525,17,17,1.0,0,0.4117647058823529,0.25,0.35294117647058826,0.9370979070663452,0.9174386262893677,0.9271640777587891
38264402,tech,bullet_points,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","The number of people who are homeless in Wales has fallen by more than a third in the last five years, according to a charity.",3525,25,17,1.4705882352941178,0,0.38095238095238104,0.2,0.28571428571428564,0.8988902568817139,0.9128421545028687,0.9058124423027039
38264402,tech,one_sentence,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","The number of people who are homeless in Wales has fallen by more than a third in the last year, according to a charity.",3525,24,17,1.411764705882353,0,0.39024390243902435,0.20512820512820512,0.2926829268292683,0.9030331373214722,0.9122363328933716,0.9076114296913147
38264402,tech,fact_constrained,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","The number of people homeless in Wales has risen by more than a third in the last five years, according to a charity.",3525,23,17,1.3529411764705883,0,0.39999999999999997,0.2105263157894737,0.3,0.9020868539810181,0.9164825677871704,0.909227728843689
34227252,entertainment,tldr,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A 26-year-old man has been charged with armed robbery in Edinburgh.,287,11,17,0.6470588235294118,0,0.33333333333333337,0.14285714285714288,0.33333333333333337,0.9193481802940369,0.9054721593856812,0.9123574495315552
34227252,entertainment,bullet_points,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A 26-year-old man has appeared in court charged with armed robbery in Edinburgh.,287,13,17,0.7647058823529411,0,0.5,0.3333333333333333,0.5,0.9296107292175293,0.9182325601577759,0.9238865971565247
34227252,entertainment,one_sentence,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A 26-year-old man has appeared in court charged with armed robbery in Edinburgh.,287,13,17,0.7647058823529411,0,0.5,0.3333333333333333,0.5,0.9296107292175293,0.9182325601577759,0.9238865971565247
34227252,entertainment,fact_constrained,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A 26-year-old man has appeared in court charged with armed robbery in Edinburgh.,287,13,17,0.7647058823529411,0,0.5,0.3333333333333333,0.5,0.9296107292175293,0.9182325601577759,0.9238865971565247
38537698,tech,tldr,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four teenagers have been charged with hate crimes after a white man was held captive in a van.,1488,18,23,0.782608695652174,0,0.34146341463414637,0.10256410256410256,0.24390243902439024,0.9198622107505798,0.8850640058517456,0.9021276831626892
38537698,tech,bullet_points,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four teenagers have been charged with hate crimes after a white man was beaten to death in a Chicago suburb.,1488,20,23,0.8695652173913043,0,0.3255813953488372,0.0975609756097561,0.23255813953488372,0.9049797058105469,0.8841404914855957,0.8944386839866638
38537698,tech,one_sentence,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four teenagers have been charged with hate crimes after a white man was beaten to death in Chicago.,1488,18,23,0.782608695652174,0,0.2926829268292683,0.05128205128205128,0.1951219512195122,0.9115617871284485,0.88447105884552,0.8978121280670166
38537698,tech,fact_constrained,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four teenagers have been charged with hate crimes after a white man was beaten to death in Chicago.,1488,18,23,0.782608695652174,0,0.2926829268292683,0.05128205128205128,0.1951219512195122,0.9115617871284485,0.88447105884552,0.8978121280670166
36175342,sport,tldr,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Bromwich Albion have appointed West Brom's former youth academy director as their new director of football.,313,17,15,1.1333333333333333,0,0.35294117647058826,0.125,0.29411764705882354,0.9187742471694946,0.8959306478500366,0.9072086811065674
36175342,sport,bullet_points,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Bromwich Albion have appointed former Arsenal youth academy director and former West Bromwich Albion goalkeeper Mark Hughes as their new director of football.,313,24,15,1.6,0,0.25,0.052631578947368425,0.25,0.8972978591918945,0.9039343595504761,0.9006038308143616
36175342,sport,one_sentence,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Bromwich Albion have appointed West Brom's former youth academy director as their new director of football.,313,17,15,1.1333333333333333,0,0.35294117647058826,0.125,0.29411764705882354,0.9187742471694946,0.8959306478500366,0.9072086811065674
36175342,sport,fact_constrained,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Bromwich Albion have appointed West Brom's former youth academy director as their new director of football.,313,17,15,1.1333333333333333,0,0.35294117647058826,0.125,0.29411764705882354,0.9187742471694946,0.8959306478500366,0.9072086811065674
39070183,tech,tldr,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",A fasting-mimicking diet has been shown to reverse the symptoms of type 1 diabetes.,3585,14,17,0.8235294117647058,0,0.43749999999999994,0.0,0.18750000000000003,0.8770020008087158,0.8894953727722168,0.883204460144043
