id,genre,prompt_name,reference_summary,generated_summary,source_length_chars,generated_length_words,reference_length_words,compression_ratio,is_bullet_format,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
38264402,tech,tldr,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","Prisoners in Wales are facing a ""desperate need"" for housing, a charity has said.",3525,14,17,0.8235294117647058,0,0.5161290322580646,0.20689655172413793,0.3870967741935484,0.9495624303817749,0.9446714520454407,0.9471105933189392
38264402,tech,bullet_points,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","The number of people homeless in Wales is on the rise, according to a charity.",3525,15,17,0.8823529411764706,0,0.43749999999999994,0.26666666666666666,0.37500000000000006,0.9422063827514648,0.9172845482826233,0.9295784831047058
38264402,tech,bullet_points_strict,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","The number of people who are homeless in Wales is ""disappointing"", a charity has said.",3525,15,17,0.8823529411764706,0,0.3125,0.13333333333333333,0.25,0.9122166633605957,0.9157290458679199,0.9139695167541504
38264402,tech,one_sentence,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","Prison leavers in Wales are facing a ""desperate need"" for accommodation, a charity has said.",3525,15,17,0.8823529411764706,0,0.5625,0.3333333333333333,0.37500000000000006,0.9516463279724121,0.954526960849762,0.9530845284461975
38264402,tech,fact_constrained,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","The number of people homeless in Wales has risen by more than a third in the past year, according to a charity.",3525,22,17,1.2941176470588236,0,0.41025641025641024,0.2162162162162162,0.30769230769230765,0.9080098867416382,0.9141688942909241,0.911078929901123
34227252,entertainment,tldr,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A 26-year-old man has been charged with armed robbery in Edinburgh.,287,11,17,0.6470588235294118,0,0.33333333333333337,0.14285714285714288,0.33333333333333337,0.9193482398986816,0.9054721593856812,0.9123574495315552
34227252,entertainment,bullet_points,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A 26-year-old man has appeared in court charged with armed robbery in Edinburgh.,287,13,17,0.7647058823529411,0,0.5,0.3333333333333333,0.5,0.9296108484268188,0.9182326793670654,0.9238867163658142
34227252,entertainment,bullet_points_strict,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A 26-year-old man has appeared in court charged with armed robbery in Edinburgh.,287,13,17,0.7647058823529411,0,0.5,0.3333333333333333,0.5,0.9296108484268188,0.9182326793670654,0.9238867163658142
34227252,entertainment,one_sentence,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A 26-year-old man has been charged with armed robbery in Edinburgh.,287,11,17,0.6470588235294118,0,0.33333333333333337,0.14285714285714288,0.33333333333333337,0.9193482398986816,0.9054721593856812,0.9123574495315552
34227252,entertainment,fact_constrained,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A 26-year-old man has appeared in court charged with armed robbery in Edinburgh.,287,13,17,0.7647058823529411,0,0.5,0.3333333333333333,0.5,0.9296108484268188,0.9182326793670654,0.9238867163658142
38537698,tech,tldr,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four teenagers have been charged with hate crimes after a white man was held captive in a van.,1488,18,23,0.782608695652174,0,0.34146341463414637,0.10256410256410256,0.24390243902439024,0.9198620319366455,0.8850641250610352,0.9021276235580444
38537698,tech,bullet_points,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four teenagers have been charged with hate crimes after a white man was beaten to death in a Chicago suburb.,1488,20,23,0.8695652173913043,0,0.3255813953488372,0.0975609756097561,0.23255813953488372,0.9049797058105469,0.8841404914855957,0.8944386839866638
38537698,tech,bullet_points_strict,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four teenagers have been charged with hate crimes after a white man was beaten to death in Chicago.,1488,18,23,0.782608695652174,0,0.2926829268292683,0.05128205128205128,0.1951219512195122,0.9115617871284485,0.8844709396362305,0.8978120684623718
38537698,tech,one_sentence,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four teenagers have been charged with hate crimes after a white man was beaten to death in Chicago.,1488,18,23,0.782608695652174,0,0.2926829268292683,0.05128205128205128,0.1951219512195122,0.9115617871284485,0.8844709396362305,0.8978120684623718
38537698,tech,fact_constrained,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four teenagers have been charged with hate crimes after a white man was beaten to death in Chicago.,1488,18,23,0.782608695652174,0,0.2926829268292683,0.05128205128205128,0.1951219512195122,0.9115617871284485,0.8844709396362305,0.8978120684623718
36175342,sport,tldr,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Bromwich Albion have appointed West Brom's former youth academy director as their new director of football.,313,17,15,1.1333333333333333,0,0.35294117647058826,0.125,0.29411764705882354,0.9187742471694946,0.8959306478500366,0.9072086811065674
36175342,sport,bullet_points,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Bromwich Albion have appointed former Arsenal youth academy director and former West Bromwich Albion goalkeeper Mark Hughes as their new director of football.,313,24,15,1.6,0,0.25,0.052631578947368425,0.25,0.8972979187965393,0.9039342999458313,0.9006038308143616
36175342,sport,bullet_points_strict,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Bromwich Albion have appointed former Arsenal youth academy director and youth academy director Darren Clarke as their new director of football.,313,22,15,1.4666666666666666,0,0.2631578947368421,0.05555555555555555,0.2631578947368421,0.9006370306015015,0.907526969909668,0.9040688872337341
36175342,sport,one_sentence,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Bromwich Albion have appointed West Brom's former youth academy director as their new director of football.,313,17,15,1.1333333333333333,0,0.35294117647058826,0.125,0.29411764705882354,0.9187742471694946,0.8959306478500366,0.9072086811065674
36175342,sport,fact_constrained,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.","West Bromwich Albion have signed West Brom's former youth academy director and former youth academy director, Mark Hughes.",313,18,15,1.2,0,0.22857142857142856,0.0606060606060606,0.17142857142857143,0.8945373892784119,0.8960784673690796,0.8953073024749756
39070183,tech,tldr,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",A fasting-mimicking diet has been shown to reverse the symptoms of type 1 and type 2 diabetes.,3585,17,17,1.0,0,0.39999999999999997,0.0,0.17142857142857143,0.8607475757598877,0.8893615007400513,0.8748205900192261
39070183,tech,bullet_points,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",A fasting-mimicking diet has been shown to reverse the symptoms of type 1 and type 2 diabetes.,3585,17,17,1.0,0,0.39999999999999997,0.0,0.17142857142857143,0.8607475757598877,0.8893615007400513,0.8748205900192261
39070183,tech,bullet_points_strict,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",A fasting-mimicking diet has been shown to reverse the symptoms of type 1 diabetes.,3585,14,17,0.8235294117647058,0,0.43749999999999994,0.0,0.18750000000000003,0.8770020604133606,0.8894954323768616,0.8832045793533325
39070183,tech,one_sentence,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",A fasting-mimicking diet has been shown to reverse the symptoms of type 1 and type 2 diabetes.,3585,17,17,1.0,0,0.39999999999999997,0.0,0.17142857142857143,0.8607475757598877,0.8893615007400513,0.8748205900192261
39070183,tech,fact_constrained,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.",A fasting-mimicking diet has been shown to reverse the symptoms of type 1 and type 2 diabetes.,3585,17,17,1.0,0,0.39999999999999997,0.0,0.17142857142857143,0.8607475757598877,0.8893615007400513,0.8748205900192261
38899892,business,tldr,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.","If you're looking for a good deal on a merger between Essilor and Luxottica, there's no doubt you'll find it.",6147,20,24,0.8333333333333334,0,0.2553191489361702,0.08888888888888888,0.1702127659574468,0.9080734252929688,0.907066285610199,0.9075695276260376
38899892,business,bullet_points,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.","If you're looking for a good deal on a merger between two of the world's biggest companies, there's no doubt you'll find it.",6147,23,24,0.9583333333333334,0,0.15686274509803924,0.0,0.07843137254901962,0.8724818229675293,0.8666012287139893,0.8695315718650818
38899892,business,bullet_points_strict,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.","If you're looking for a good deal on a merger between two of the world's biggest companies, there's no way you'll be able to find it.",6147,26,24,1.0833333333333333,0,0.1851851851851852,0.0,0.11111111111111112,0.8723170161247253,0.8681740760803223,0.8702405691146851
38899892,business,one_sentence,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",There's no doubt that there will be a merger between Essilor and Luxottica in the near future.,6147,17,24,0.7083333333333334,0,0.3333333333333333,0.09999999999999999,0.1904761904761905,0.9312626123428345,0.9139895439147949,0.9225451946258545
38899892,business,fact_constrained,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.",There's no doubt that there will be a merger between Essilor and Luxottica in the near future.,6147,17,24,0.7083333333333334,0,0.3333333333333333,0.09999999999999999,0.1904761904761905,0.9312626123428345,0.9139895439147949,0.9225451946258545
39339718,sport,tldr,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.","Wendy Houvenaghel has said she feels ""vindicated"" by British Cycling's failures in the World Class Programme.",5432,16,19,0.8421052631578947,0,0.2222222222222222,0.11764705882352941,0.1111111111111111,0.9190068244934082,0.9116318225860596,0.9153044819831848
39339718,sport,bullet_points,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.","Wendy Houvenaghel has said she feels ""vindicated"" by British Cycling's failures in the World Class Programme.",5432,16,19,0.8421052631578947,0,0.2222222222222222,0.11764705882352941,0.1111111111111111,0.9190068244934082,0.9116318225860596,0.9153044819831848
39339718,sport,bullet_points_strict,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.","Wendy Houvenaghel has said she feels ""vindicated"" by British Cycling's failures in the World Class Programme.",5432,16,19,0.8421052631578947,0,0.2222222222222222,0.11764705882352941,0.1111111111111111,0.9190068244934082,0.9116318225860596,0.9153044819831848
39339718,sport,one_sentence,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.","British Cycling chief executive Wendy Houvenaghel has said she feels ""vindicated"" by the organisation's failures in the World Class Programme.",5432,20,19,1.0526315789473684,0,0.2,0.10526315789473685,0.2,0.9131338596343994,0.9117225408554077,0.9124276638031006
39339718,sport,fact_constrained,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.","Wendy Houvenaghel has said she feels ""vindicated"" by a report into British Cycling's World Class programme.",5432,16,19,0.8421052631578947,0,0.27777777777777773,0.11764705882352941,0.16666666666666669,0.9199779033660889,0.9117653369903564,0.9158532023429871
34571446,business,tldr,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,"The Hideout is a comedy club in Austin, Texas.",5950,9,27,0.3333333333333333,0,0.3333333333333333,0.11764705882352941,0.3333333333333333,0.9070320725440979,0.8586829304695129,0.8821955323219299
34571446,business,bullet_points,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,It's not often you hear a joke about a comedy club in the US.,5950,14,27,0.5185185185185185,0,0.42857142857142855,0.1,0.2857142857142857,0.8886617422103882,0.8678677678108215,0.8781416416168213
34571446,business,bullet_points_strict,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,"The Hideout is a comedy club in Austin, Texas.",5950,9,27,0.3333333333333333,0,0.3333333333333333,0.11764705882352941,0.3333333333333333,0.9070320725440979,0.8586829304695129,0.8821955323219299
34571446,business,one_sentence,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,It's not a joke. It's a joke. It's a joke.,5950,10,27,0.37037037037037035,0,0.2,0.0,0.2,0.8813695311546326,0.8438204526901245,0.8621863722801208
34571446,business,fact_constrained,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,"In the US, stand-up comedy is a booming industry.",5950,9,27,0.3333333333333333,0,0.21621621621621623,0.0,0.16216216216216217,0.9040366411209106,0.8649747967720032,0.8840743899345398
36892983,business,tldr,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.","BT's share price soared in early trading on Thursday after the company's chief executive, Sharon White, said the company's pension scheme was ""practical obstacles"" to a split.",2398,27,29,0.9310344827586207,0,0.22580645161290322,0.03333333333333333,0.19354838709677422,0.8612439632415771,0.8680153489112854,0.8646163940429688
36892983,business,bullet_points,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.","BT's share price soared in the early hours of Thursday morning, as the company's shares soared on the London Stock Exchange.",2398,21,29,0.7241379310344828,0,0.2909090909090909,0.07547169811320754,0.21818181818181817,0.8666976690292358,0.8626887202262878,0.8646885752677917
36892983,business,bullet_points_strict,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.","BT's share price soared in early trading after the company's chief executive, Ofcom's Sharon White, said the company's pension scheme was ""practical obstacles"" to a break-up.",2398,26,29,0.896551724137931,0,0.2222222222222222,0.06557377049180328,0.19047619047619047,0.8659908771514893,0.8793990612030029,0.8726434707641602
36892983,business,one_sentence,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.","BT's share price soared in the early hours of Thursday morning, as the company's shares soared on the London Stock Exchange.",2398,21,29,0.7241379310344828,0,0.2909090909090909,0.07547169811320754,0.21818181818181817,0.8666976690292358,0.8626887202262878,0.8646885752677917
36892983,business,fact_constrained,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.","BT's share price soared in early trading on Thursday after the company's chief executive, Ofcom chief executive Sharon White, said that a break-up would be ""a costly headache"" and that a government guarantee on part of the company's pension scheme would be needed.",2398,43,29,1.4827586206896552,0,0.25316455696202533,0.05194805194805195,0.20253164556962025,0.8602383136749268,0.8794182538986206,0.8697226047515869
37732028,sport,tldr,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,Brendan Rodgers says he is looking forward to his first Old Firm derby with Celtic on Saturday.,2239,17,23,0.7391304347826086,0,0.19047619047619052,0.05,0.19047619047619052,0.9108632206916809,0.8870556354522705,0.898801863193512
37732028,sport,bullet_points,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,Brendan Rodgers says he is looking forward to his first Old Firm derby with Celtic on Saturday.,2239,17,23,0.7391304347826086,0,0.19047619047619052,0.05,0.19047619047619052,0.9108632206916809,0.8870556354522705,0.898801863193512
37732028,sport,bullet_points_strict,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,Brendan Rodgers says he is looking forward to his first Old Firm derby with Celtic on Saturday.,2239,17,23,0.7391304347826086,0,0.19047619047619052,0.05,0.19047619047619052,0.9108632206916809,0.8870556354522705,0.898801863193512
37732028,sport,one_sentence,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,Brendan Rodgers says he is looking forward to his first Old Firm derby with Celtic on Saturday.,2239,17,23,0.7391304347826086,0,0.19047619047619052,0.05,0.19047619047619052,0.9108632206916809,0.8870556354522705,0.898801863193512
