id,genre,prompt_name,reference_summary,generated_summary,source_length_chars,generated_length_words,reference_length_words
38264402,tech,bullet_points_3_shot,"There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity.","The number of people who are homeless in Wales is ""disappointing"", a charity has said.",3525,15,17
34227252,entertainment,bullet_points_3_shot,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh.",A 26-year-old man has appeared in court charged with armed robbery in Edinburgh.,287,13,17
38537698,tech,bullet_points_3_shot,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",Four teenagers have been charged with hate crimes after a white man was beaten to death in Chicago.,1488,18,23
36175342,sport,bullet_points_3_shot,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading.",West Bromwich Albion have appointed West Brom's former youth academy director as their new director of football.,313,17,15
39070183,tech,bullet_points_3_shot,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.","Summary: Using a ""fasting-mimicking"" diet can reverse the symptoms of type 1 and type 2 diabetes, a study suggests.",3585,19,17
38899892,business,bullet_points_3_shot,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica.","If you're looking for a good deal on a merger between two of the world's biggest companies, there's a good chance you'll find it.",6147,24,24
39339718,sport,bullet_points_3_shot,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel.","British Cycling chief executive Wendy Houvenaghel has said she feels ""vindicated"" by the organisation's failures in the World Class Programme.",5432,20,19
34571446,business,bullet_points_3_shot,Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?,A comedy club in the US has a reputation for being one of the best in the country.,5950,18,27
36892983,business,bullet_points_3_shot,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.","BT's share price soared in the early hours of Thursday morning, as the company's rivals sat down to discuss the future of the telecoms giant.",2398,25,29
37732028,sport,bullet_points_3_shot,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.,Brendan Rodgers says he is looking forward to his first Old Firm derby with Celtic on Saturday.,2239,17,23
32300397,business,bullet_points_3_shot,Queen's University Belfast is cutting 236 jobs and 290 student places due to a funding reduction.,"The University of Queen's in Belfast has announced it will cut its undergraduate and postgraduate places by 1,010 over the next three years.",2309,23,16
32672009,tech,bullet_points_3_shot,Hospital bosses in Sussex have apologised after about 850 patients were sent leaflets in error suggesting they might have cancer.,An NHS trust has apologised after 850 leaflets were mistakenly inserted with an appointment letter.,1318,15,20
38872899,politics,bullet_points_3_shot,The shadow foreign secretary has suggested Labour will continue to support legislation paving the way for Brexit as it passes through Parliament.,"Labour's shadow cabinet leader has said she will not ""frustrate Brexit"" if it fails to back the Brexit bill.",3157,19,22
37248643,sport,bullet_points_3_shot,Torquay United boss Kevin Nicholson says none of the money from Eunan O'Kane's move to Leeds from Bournemouth will go to the playing squad.,"The Gulls have agreed a deal to sell midfielder Sean O'Kane to the Cherries for £8m, according to manager Mark Nicholson.",625,21,24
38521798,tech,bullet_points_3_shot,North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,"A psychiatric consultant has said he is ""extremely unhappy"" about a visit by a police officer to a ward at a hospital.",1314,22,22
29771956,sport,bullet_points_3_shot,Leicester City striker Gary Taylor-Fletcher has joined Sheffield Wednesday on an initial month-long loan.,Leicester City have re-signed midfielder Chris Taylor-Fletcher on a one-year contract.,343,11,14
38322594,politics,bullet_points_3_shot,"Limiting access to federal research would do an ""enormous disservice"" to the US and the world according to former Nasa chief scientist.",The chief scientist at Nasa has warned that the US government should stop allowing scientists to access government data.,5964,19,22
35194738,entertainment,bullet_points_3_shot,"John ""Brad"" Bradbury, drummer with The Specials, has died at the age of 62.",The Specials drummer John 'Brad' Bradbury has died at the age of 84.,2284,13,14
38781058,sport,bullet_points_3_shot,"Tiger Woods missed the cut at the Farmers Insurance Open, as England's Justin Rose maintained a one-shot lead.",Woods missed the cut at the US Open as he missed the cut by four shots as he missed the cut at Torrey Pines.,1084,24,18
40181128,sport,bullet_points_3_shot,"Former England striker Andy Cole says he faces a ""long road ahead"" as he recovers from his recent kidney transplant.","Manchester United striker Wayne Cole says he has a ""long road ahead"" after a kidney transplant.",1760,16,20
35345872,tech,bullet_points_3_shot,"Pakistan has unblocked the video sharing site, YouTube, more than three years after it was banned for posting a video deemed insulting to Islam.",Pakistan's government has lifted a ban on YouTube in the country.,2050,11,24
32148941,sport,bullet_points_3_shot,"Leicester Tigers winger Miles Benjamin is likely to be out for the rest of the season because of a knee injury, reports BBC Radio Leicester.",Leicester's Ben Benjamin will miss the rest of the season after suffering a neck injury.,676,15,25
37066439,sport,bullet_points_3_shot,Owain Doull has won Wales' first gold of the 2016 Olympics as he helped the Great Britain men's team pursuit defend their cycling title in Rio.,Great Britain's Mark Doull has won his first Olympic gold medal as he helped Great Britain beat Australia in the final of the World Championships in Rio.,2573,27,26
40787080,tech,bullet_points_3_shot,"Floods in the western Indian state of Gujarat have killed 218 people, government officials have confirmed.","The death toll from floods in Gujarat state has risen to more than 100 people, officials say.",755,17,16
39192648,sport,bullet_points_3_shot,All images copyrighted.,"The wedding of a couple on skis has been a ""no-brainer"" for the couple.",2058,14,3
27119429,business,bullet_points_3_shot,"Royal Bank of Scotland (RBS) has been fined HK$6m (£460,000) by Hong Kong regulators after it failed to detect a series of unauthorised transactions by one of its traders.",Hong Kong's Royal Bank of Scotland (RBS) has been fined a record amount by the Hong Kong Securities and Exchange Commission (HKSEC).,1574,22,29
38952672,politics,bullet_points_3_shot,"The Bafta awards had laughter, passion and plenty of politics.",Summary: - It's a whirlwind at the Baftas. - It's a whirlwind at the Baftas.,4391,15,10
40458642,sport,bullet_points_3_shot,"Of his last 30 matches in 2016, Andy Murray won 28 and lost just two.",Summary: Defending champion Andy Murray has a long way to go in his career.,4120,14,15
39935147,entertainment,bullet_points_3_shot,South African police say four people have been arrested in connection with the murder of former actor on popular local TV series Generations.,Police in South Africa are questioning a man who was shot dead after a night out with his girlfriend.,601,19,23
34911128,tech,bullet_points_3_shot,"A shot was reportedly fired at a car outside a primary school in Liverpool as parents were taking their children inside, police have said.",A school shooting at a primary school in Merseyside is being investigated by police.,1163,14,24
32950992,sport,bullet_points_3_shot,Jessica Ennis-Hill has fallen from fourth to eighth place after six events at the Hypo-Meeting in Gotzis.,Great Britain's Katie Ennis-Hill has won her first heptathlon at the Gotzis Hypo-Meeting.,866,13,17
38772098,sport,bullet_points_3_shot,The Manor team have collapsed after administrators failed to find a buyer for the stricken business.,The owners of Manor Racing have said they will not be able to continue running the team until a buyer is found.,3306,22,16
38914203,politics,bullet_points_3_shot,A total of 228 candidates will contest the Northern Ireland Assembly election next month - 48 fewer than last time.,There are a total of 228 candidates in the assembly election in Northern Ireland.,893,14,20
37624408,business,bullet_points_3_shot,"With the value of the pound falling dramatically since Brexit, a ""flash crash"" last week when the currency lost 6% of its value against the dollar, and news on Tuesday that the pound had fallen again, when would be a good time to change those pounds to dollars?",The BBC has asked readers to share their questions about the pound and the FTSE 100.,2104,16,48
34631268,entertainment,bullet_points_3_shot,A philosophy student who wears vintage clothing has won a national contest for alternative models.,The winner of the Alternative Model of the Year contest has said she has never thought she could be a model.,988,21,15
36792661,politics,bullet_points_3_shot,Plans to move a statue depicting a Royal Marine in the Falklands conflict away from Portsmouth seafront have been criticised.,A statue of a Royal Marine marching across the Falklands during the Falklands War has been voted down by a Portsmouth council.,1798,22,20
18298438,tech,bullet_points_3_shot,A suspected terrorist has been charged with breaching conditions imposed as part of the government's new terror monitoring powers.,A British man has appeared in court charged with breaching a terror prevention order.,1887,14,19
39064994,sport,bullet_points_3_shot,Sussex have appointed former player James Anyon as head coach of their women's side.,Sussex women's cricket coach Seamer Anyon has been appointed as the club's new head coach.,715,15,14
33826440,sport,bullet_points_3_shot,League One side Bury have signed former Barnsley defender Reece Brown on a six-month contract.,Bury have re-signed midfielder Ben Brown on a two-year deal.,399,10,15
32032471,entertainment,bullet_points_3_shot,"In recent years, Hollywood remakes and re-imaginings of classic fairytales have come thick and fast - all darker, more adult versions of tales that originally appeared in cinemas.",Cinderella is a classic fairytale - but it's also a modern version of Frozen.,4518,14,28
39847422,politics,bullet_points_3_shot,"Performers from 42 countries strode down a long red carpet near Ukraine's parliament this week, as a curtain-raiser to this year's Eurovision Song Contest.",It was a dream come true.,4849,6,24
12396322,entertainment,bullet_points_3_shot,It was 50 years ago today that The Beatles played their first gig at the Cavern Club in Liverpool - the venue where the band built their reputation and where Beatlemania was born.,Summary: - The Beatles were the epitome of rebellion in Liverpool - they danced out of step on purpose.,3965,19,33
38052755,politics,bullet_points_3_shot,"South Africa's government has proposed a national minimum wage of 3,500 rand ($242; Â£199) a month.","South Africa has announced a proposed national minimum wage of at least 4,500 rand.",1902,14,16
19341954,politics,bullet_points_3_shot,The death of Ethiopian Prime Minister Meles Zenawi has thrown the populous Horn of Africa giant into a period of deep uncertainty and created a serious leadership vacuum in the region with profound geopolitical implications.,"Outraged by the death of Ethiopia's former guerilla leader Meles Zenawi, the West has a hard time assessing his legacy.",7822,20,35
38435201,sport,bullet_points_3_shot,Azhar Ali's unbeaten 66 helped Pakistan to reach 142-4 against Australia on a rain-affected first day of the Boxing Day Test in Melbourne.,Australia batsman Azhar Azhar scored a century as Australia beat Pakistan by three wickets at the MCG to end the three-Test series.,871,22,23
34218922,politics,bullet_points_3_shot,Two new councillors have been elected in a by-election in the City of Edinburgh.,The SNP has won a seat in the Edinburgh North and Leith Walk by-election.,1345,14,14
37508085,business,bullet_points_3_shot,"Russia has said it will carry on bombing rebel-held eastern Aleppo in Syria, defying US demands to stop.","Russia's foreign ministry has said it is ""irrational"" to be sitting there trying to take things seriously in the context of the Syrian civil war.",3220,25,18
36376666,sport,bullet_points_3_shot,Wales Under-20 Grand Slam winners Shaun Evans and Dafydd Hughes have signed their first professional contracts with Scarlets.,Wales have signed Llandudno and Scarlets fly-half Rory Hughes and winger Ben Evans on loan until the end of the season.,473,21,18
38466964,politics,bullet_points_3_shot,"The expulsion of 35 Russian diplomats from the US over the email hacking scandal has drawn a barrage of abuse from Moscow, which seems poised to respond in kind.",The White House has announced a new wave of sanctions against Russia.,4103,12,29
39883016,politics,bullet_points_3_shot,Scrapping tuition fees in England is the biggest and most expensive proposal in Labour's £25bn worth of pledges for education.,Labour's manifesto says it is going for an all-or-nothing approach to university tuition.,5523,13,20
34218673,tech,bullet_points_3_shot,Fire crews are expected to leave the site of the Shoreham Airshow disaster later after spending nearly three weeks at the scene of the crash.,The West Sussex Fire and Rescue Service has said it has completed its work at the Shoreham Air Show.,2219,19,25
40191593,business,bullet_points_3_shot,"The US director of national intelligence has said he ""never felt pressured"" to influence the inquiry into Russia's political meddling.","The director of the NSA has said he is ""not willing to share information I think ought to be protected"".",3816,20,20
33144298,entertainment,bullet_points_3_shot,White House officials will not say whether pop star Prince performed at a weekend party at the executive residence despite guests posting about it on social media.,"The Obamas have held a private party in New York, the White House has said.",601,15,27
34833729,business,bullet_points_3_shot,These roads in Northern Ireland are closed due to poor weather conditions as of Friday 15 January.,The following roads are in County Antrim:,167,7,17
39976706,tech,bullet_points_3_shot,Approximately one in four of us will experience a mental health problem each year in England.,"If you've been struggling with mental health problems for a long time, you've probably been eating too much junk food.",5339,20,16
31864223,tech,bullet_points_3_shot,US investigators have closed an inquiry into whether To Kill A Mockingbird author Harper Lee was pressured into publishing a sequel.,"The publisher of To Kill a Mockingbird has announced that it will publish a new book, Go Set a Watchman.",1290,20,21
37546354,politics,bullet_points_3_shot,"The US has said it is suspending talks with Russia over Syria, accusing Moscow of having ""failed to live up"" to its commitments under a ceasefire deal.",The US has suspended talks between Russia and the Syrian government over the collapse of a ceasefire in northern Syria.,2761,20,27
